appid,name,required age,publisher,genre,price,release date,system
2907250,Dungeon Ruins,l,SomSmolGeims,Action,2999,"11 Apr, 2024",nintendo
2907270,WIZARD ANOTHER WORLD,l,SomSmolGeims,Adventure,2999,"11 Apr, 2024",nintendo
2907610,Echoes,10,Binary Tales,Casual,699,"12 Apr, 2024",pc
2907630,kidnapped,14,UKKIM,Action,599,"Apr 29, 2024",playstation
2906780,bbosong,l,Dragon Castle,Casual,349,"12 Apr, 2024",nintendo
2906800,Cubik,l,Sean Chen,Casual,1049,"15 Apr, 2024",pc
2906890,Grapplers: Relic Rivals,12,Ally Productions LLC,Action,4449,"19 Jun, 2024",pc
2906930,小石冒险 Koishi Adventure⁓,12,EHKSTD,Action,699,"19 Apr, 2024",playstation
2907000,Desktop Creatures,l,MaxDev,Casual,349,"3 May, 2024",nintendo
2907190,April 24th,16,EMIKA_GAMES,Adventure,594,"23 Apr, 2024",nintendo
2906220,SEX HELP,18,Hell Bomb Studio,Action,209,"19 Apr, 2024",playstation
2906310,Cyborg  lumberjack,l,Konogorov Dmitry,Action,1379,"24 Apr, 2024",nintendo
2906350,Chaos Frenzy,l,Saeru,Action,2018,"27 Apr, 2024",playstation
2906360,SpectroPhobia,10,NDBdeveloper,Adventure,2649,"9 Apr, 2024",nintendo
2906390,Le monde d'orathos,l,Erouest Production,RPG,2649,"22 Apr, 2024",nintendo
2906510,Monsters and Sprites,10,Sinacs,Action,279,"16 May, 2024",pc
2906530,Cozy Merge,l,at0m,Casual,699,"30 Jul, 2024",playstation
2906690,德州边境守卫战,12,7miao game,Action,699,"9 May, 2024",nintendo
2905930,Blast in the Past,10,A Mil To One Games,Indie,2649,"15 Apr, 2024",nintendo
2906140,Bluff with Ash,16,Conv Studio,Action,1699,"2 Jun, 2024",nintendo
2906170,Fetish Club,18,SinVR,Casual,7399,"30 May, 2024",pc
2905240,Dig a Road,l,SuperJoy Games,Casual,699,"6 May, 2024",playstation
2905360,Oh No! I Died and Woke Up a Greek God!,14,Bixie Boots,Casual,499,"Apr 22, 2024",playstation
2905410,RPG Maker MZ - Diagonal Sprite Generator,l,Gotcha Gotcha Games,RPG,3579,"10 Apr, 2024",pc
2905430,RPG Maker MZ - NEONPIXEL - Mega Flying World,l,Gotcha Gotcha Games,RPG,4449,"10 Apr, 2024",playstation
2905450,RPG Maker MZ - Ax Angel Studios - Shattered Silence,l,Gotcha Gotcha Games,RPG,1299,"Apr 10, 2024",playstation
2905470,下一站江湖Ⅱ-纯外观DLC《江湖如梦》,l,白玉京工作室,Action,2049,"17 Apr, 2024",playstation
2905490,RPG Maker MV - Diagonal Sprite Generator,l,Gotcha Gotcha Games,RPG,1099,"Apr 10, 2024",nintendo
2905520,RPG Maker MV - NEONPIXEL - Mega Flying World,l,Gotcha Gotcha Games,RPG,1399,"Apr 10, 2024",pc
2905540,RPG Maker MV - Ax Angel Studios - Shattered Silence,l,Gotcha Gotcha Games,RPG,1299,"Apr 10, 2024",nintendo
2905600,Sea Rover,l,wang huimin,Casual,349,"15 Apr, 2024",pc
2905630,subway,14,YYC,Casual,1379,"3 May, 2024",playstation
2905700,DINRAY,l,Olga Ostroumova,Design & Illustration,54795,"1 May, 2024",nintendo
2904800,Blood Poker,18,Roeb,Casual,1499,"1 May, 2024",playstation
2904840,CAASI remade Digital Wallpaper,10,nahCeYmiK,Adventure,629,"24 Jul, 2024",playstation
2904920,Kingdom Of Peace,14,Prosuntal Games Studio,Adventure,3579,"30 Apr, 2024",pc
2905080,Brownie's Adventure 2,14,Beardy Ramblin Games,Adventure,1986,"1 Aug, 2024",playstation
2905120,Spaceborne Survivors,l,Dmitry Ryabchuk,Action,1049,"15 Apr, 2024",pc
2905180,Shade Silver,12,Chris Allen,Action,1049,"10 Jun, 2024",pc
2905150,遗忘魔塔,l,罗小熊工作室,Adventure,1049,"8 Apr, 2024",pc
2904290,RollScape,l,Leonardo the Vinchy,Adventure,2350,"22 May, 2024",pc
2904300,Ylands - Starter Pack,10,Bohemia Interactive,Adventure,524,"25 Apr, 2024",nintendo
2904470,ハルジオンは雨と咲く,16,『縋想』プロジェクト,Adventure,2999,"11 Apr, 2024",playstation
2903740,Card Master,l,Cyan Cloud,Casual,500,"30 Apr, 2024",playstation
2903760,NTBSS Top Secret Training Set - Season Pass 7 Characters,12,Bandai Namco Entertainment,Action,1150,"23 May, 2024",nintendo
2903960,Wartales - The Tavern Opens!,14,Shiro Games,Adventure,4599,"18 Apr, 2024",playstation
2904140,Enter The Lost Chamber - Artbook,l,Game Academy,Action,99,"Apr 17, 2024",nintendo
2903250,ARC: Antic Runes Combat,l,ima shouganai,Casual,3299,"10 Apr, 2024",nintendo
2903270,METAL DOGS NEW DOG ADDITION:LABRADOR RETRIEVER,10,"24Frame,inc.",Action,2320,"23 May, 2024",pc
2903460,我在末日捡垃圾,12,人鱼工作室,Casual,1189,"30 Apr, 2024",playstation
2903480,일진녀가 옆집에 이사왔다,14,Somel,Casual,2049,"21 Apr, 2024",nintendo
2903560,８番のりば,14,KOTAKE CREATE,Adventure,1379,"31 May, 2024",playstation
2903660,マチョリウム -Muscle Aquarium Simulator-,l,indiegamesjapan,Casual,2649,"28 May, 2024",playstation
2902840,RPG Maker VX Ace - Time Elements - Character Expansion 1,l,KOMODO,Adventure,4699,"4 Apr, 2024",playstation
2902860,RPG Maker VX Ace - MT Tiny Tales - CodeArk UI Assets,l,KOMODO,Adventure,4699,"18 Apr, 2024",nintendo
