appid,name,required age,publisher,genre,price,release date,system
2905460,RPG Maker MZ - Symphonic Rock Music Pack,l,Gotcha Gotcha Games,RPG,2999,"10 Apr, 2024",pc
2905470,下一站江湖Ⅱ-纯外观DLC《江湖如梦》,l,白玉京工作室,Action,2049,"17 Apr, 2024",nintendo
2905490,RPG Maker MV - Diagonal Sprite Generator,l,Gotcha Gotcha Games,RPG,3579,"10 Apr, 2024",nintendo
2905500,RPG Maker MV - RETRO SOUND MUSIC PACK Vol.01,l,Gotcha Gotcha Games,RPG,2999,"10 Apr, 2024",nintendo
2905520,RPG Maker MV - NEONPIXEL - Mega Flying World,l,Gotcha Gotcha Games,RPG,4449,"10 Apr, 2024",playstation
2905530,RPG Maker MV - Chiptune 8bit BGM Pack,l,Gotcha Gotcha Games,RPG,5499,"10 Apr, 2024",playstation
2905540,RPG Maker MV - Ax Angel Studios - Shattered Silence,l,Gotcha Gotcha Games,RPG,4199,"10 Apr, 2024",nintendo
2905550,RPG Maker MV - Symphonic Rock Music Pack,l,Gotcha Gotcha Games,RPG,2999,"10 Apr, 2024",pc
2905590,Endless Mountain,l,wang huimin,Casual,349,"15 Apr, 2024",nintendo
2905600,Sea Rover,l,wang huimin,Casual,349,"15 Apr, 2024",pc
2905630,subway,14,YYC,Casual,1379,"3 May, 2024",pc
2901810,Supermrket: El Videojuego de Gestión de Supermercado,l,Paso-a-Paso games ,Casual,349,"25 Apr, 2024",pc
2901800,デッキ勇者,18,1.5次創作,RPG,2321,"16 May, 2024",nintendo
2901820,Bosstack,10,Catalion,Casual,1049,"24 Apr, 2024",pc
2901850,Supermrket: Expansion San Juan,l,Paso-a-Paso games ,Casual,349,"23 Jun, 2024",nintendo
2901870,AOD,10,yexiong,Adventure,1049,"25 Apr, 2024",pc
2901910,Borderless Gaming - Dark Mode,l,Codeusa,Utilities,349,"25 Mar, 2024",pc
2901970,はつものがたり | Naive Novel,l,"Yanase Games, Inc.",Adventure,399,"Jun 14, 2024",pc
2901960,Hentai Girls,18,CggtGroup,Casual,349,"12 Apr, 2024",playstation
2902020,Detective Secrets Solitaire. The Curse of the Village,l,DigiMight,Casual,2350,"10 Apr, 2024",playstation
2902090,Tribute,14,Conni'co,Adventure,2499,"30 Aug, 2024",pc
2902190,SKALD: Against the Black Priory - Reinforcement Pack,l,Raw Fury,Indie,1699,"30 May, 2024",nintendo
2902200,Mullet Mad Jack ARTBOOK,l,Epopeia games,Action,2636,"15 May, 2024",playstation
